file_path,class_name,method_name,http_method,endpoint_url,flat_permissions,inferred_page_slug,inferred_crud_action
SMBackend/src/main/java/com/School/School_management/Controller/SubjectController.java,SubjectController,getSubjectById,GET,/api/subjects/{id},SUBJECT_MANAGE|SUBJECT_MANAGE_ASSIGNED|SUBJECT_VIEW_ASSIGNED|SUBJECT_VIEW_OWN|SUBJECT_VIEW_CHILD|*|/{id},subject,view
SMBackend/src/main/java/com/School/School_management/Controller/SubjectController.java,SubjectController,updateSubject,PUT,/api/subjects/{id},SUBJECT_MANAGE|SUBJECT_MANAGE_ASSIGNED|*|/{id},subject,edit
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,createSubmission,POST,/api/submissions,ASSIGNMENT_SUBMIT|*,submission,add
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,deleteSubmission,DELETE,/api/submissions/{id},SUBMISSION_MANAGE|SUBMISSION_VIEW_ASSIGNED|*|/{id},submission,delete
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,evaluateSubmission,PUT,/api/submissions/{id}/evaluate,SUBMISSION_MANAGE|SUBMISSION_EVALUATE_ASSIGNED|*|/{id}/evaluate,submission,edit
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,getAllSubmissions,GET,/api/submissions,SUBMISSION_MANAGE|SUBMISSION_VIEW_ASSIGNED|*,submission,view
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,getByAssignment,GET,/api/submissions/assignment/{assignmentId},SUBMISSION_MANAGE|SUBMISSION_VIEW_ASSIGNED|*|/assignment/{assignmentId},submission,view
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,getByStudent,GET,/api/submissions/student/{studentId},SUBMISSION_VIEW_OWN|SUBMISSION_VIEW_CHILD|SUBMISSION_VIEW_ASSIGNED|*|/student/{studentId},submission,view
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,getSubmissionById,GET,/api/submissions/{id},SUBMISSION_MANAGE|SUBMISSION_VIEW_ASSIGNED|SUBMISSION_VIEW_OWN|SUBMISSION_VIEW_CHILD|*|/{id},submission,view
SMBackend/src/main/java/com/School/School_management/Controller/SubmissionController.java,SubmissionController,updateSubmission,PUT,/api/submissions/{id},ASSIGNMENT_SUBMIT|*|/{id}|multipart/form-data,submission,edit
SMBackend/src/main/java/com/School/School_management/Controller/SubscriptionPlanController.java,SubscriptionPlanController,delete,DELETE,/api/subscription-plans/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,subscription-plans,delete
SMBackend/src/main/java/com/School/School_management/Controller/SubscriptionPlanController.java,SubscriptionPlanController,update,PUT,/api/subscription-plans/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,subscription-plans,edit
SMBackend/src/main/java/com/School/School_management/Controller/SuggestionController.java,SuggestionController,delete,DELETE,/api/suggestions/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,suggestion,delete
SMBackend/src/main/java/com/School/School_management/Controller/SuggestionController.java,SuggestionController,getById,GET,/api/suggestions/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,suggestion,view
SMBackend/src/main/java/com/School/School_management/Controller/SuggestionController.java,SuggestionController,update,PUT,/api/suggestions/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,suggestion,edit
SMBackend/src/main/java/com/School/School_management/Controller/SuperAdminController.java,SuperAdminController,delete,DELETE,/api/super-admins/{id},*,super-admins,delete
SMBackend/src/main/java/com/School/School_management/Controller/SuperAdminController.java,SuperAdminController,getSuperAdminById,GET,/api/super-admins/{id},*,super-admins,view
SMBackend/src/main/java/com/School/School_management/Controller/SuperAdminController.java,SuperAdminController,update,PUT,/api/super-admins/{id},*,super-admins,edit
